Iteration	Time	Timesteps	MeanReward	StdReward	MaxReward	MinReward	PolicyLoss	ValueLoss	Entropy
10	56.8877055644989	1378	-0.2286814920604229	0.2342186351621896	0.05698218196630478	-0.5535391569137573	0.026166796684265137	0.0005221582832746208	1.412672758102417
20	106.86135959625244	2658	-0.05221439115703106	0.04578047074103756	0.005102159455418587	-0.11620011180639267	-0.14432822167873383	0.00035846440005116165	1.4111353158950806
30	155.19091892242432	5126	-0.05639398656785488	0.044609068096141326	0.011020159348845482	-0.1210925281047821	-0.6493284702301025	0.00010318371641915292	1.405056118965149
40	202.50544381141663	7149	-0.12463867887854577	0.10002016981573934	-0.04933442547917366	-0.32065847516059875	-0.07478152960538864	0.0012936643324792385	1.4071749448776245
50	249.57855534553528	8589	-0.1202402962371707	0.06572046117969359	0.010517978109419346	-0.16115210950374603	-0.26530686020851135	0.00013773060345556587	1.4117716550827026
60	295.9203815460205	10774	-0.06074916496872902	0.03198020153241365	-0.02810899168252945	-0.11060719192028046	-0.20067238807678223	0.0008312460849992931	1.4118068218231201
70	339.454877614975	12481	-0.06967315822839737	0.05142427049673128	-0.032183125615119934	-0.17080898582935333	-0.5253780484199524	0.0008318250183947384	1.4155000448226929
80	389.9655411243439	14474	-0.12909038104116916	0.10219383833288376	-0.027152037248015404	-0.28438133001327515	-0.10998982936143875	0.0003057663852814585	1.4117653369903564
90	434.7420756816864	15760	-0.10167362168431282	0.06933351820424599	-0.03314286470413208	-0.22006069123744965	-0.1409933865070343	0.00034985339152626693	1.410470724105835
100	479.47938680648804	17671	-0.041600555181503296	0.00900674461662696	-0.031673453748226166	-0.05240748077630997	-0.2434464544057846	0.001370154321193695	1.412076711654663
110	526.2535707950592	19431	-0.09370151609182358	0.03109756652356389	-0.03926226496696472	-0.1341673582792282	-0.1476374864578247	0.00016840521129779518	1.4078391790390015
120	572.7965931892395	21882	-0.11913627870380879	0.11489767038133214	-0.017727358266711235	-0.33943602442741394	0.09470488876104355	0.0005645257188007236	1.4103106260299683
130	621.3548123836517	23681	-0.09553464725613595	0.09835935642297654	-0.024333391338586807	-0.27866968512535095	-0.4426916837692261	0.0012491745874285698	1.4041764736175537
140	666.7690529823303	25827	-0.07069774493575096	0.06941749442259389	0.02047492191195488	-0.16591602563858032	0.42250949144363403	0.000831178855150938	1.410055160522461
150	715.7141966819763	27801	-0.13528094291687012	0.05657575115354567	-0.06468532979488373	-0.21080972254276276	-0.04287340119481087	0.0011089332401752472	1.4071708917617798
160	767.3351912498474	29585	-0.17941417694091796	0.11417204193236975	-0.03424602001905441	-0.36613890528678894	-0.14422295987606049	0.00019866896036546677	1.407639741897583
170	817.0492475032806	31772	-0.07921589203178883	0.05097909496142791	0.01018715463578701	-0.14030928909778595	0.09168854355812073	0.0012347189476713538	1.4033664464950562
180	869.1720149517059	33738	-0.10906075416132807	0.09712048111402437	-0.002755203749984503	-0.29244840145111084	-0.030815834179520607	0.00037481769686564803	1.4137970209121704
190	915.5637378692627	35551	-0.09595717238262295	0.1007157555755094	0.007569860201328993	-0.2779046297073364	-0.13965730369091034	0.0008179623982869089	1.413230538368225
200	968.3799138069153	38510	-0.030745019763708116	0.07805495346994594	0.12108072638511658	-0.09886297583580017	0.03818086162209511	0.001847411273047328	1.412581205368042
210	1021.1285285949707	40394	-0.15236928462982177	0.09823777305655544	-0.05690229684114456	-0.32899239659309387	-0.38903576135635376	0.00017257171566598117	1.4123338460922241
220	1073.472466468811	43186	-0.09957659728825093	0.11162655847368853	-0.006206643767654896	-0.306609570980072	-0.10039327293634415	0.0009193128207698464	1.4123400449752808
230	1126.543244600296	45195	-0.08282910548150539	0.07477274068855008	-0.003414040431380272	-0.22151167690753937	-0.3627738952636719	0.00023338680330198258	1.4093400239944458
