Iteration	PolicyLoss	ValueLoss	Entropy	MeanReward	BestMeanReward
340	-0.3605858385562897	1.4778047443542164e-05	1.374653697013855	0.004061036	0.06796626
350	-0.09019280970096588	4.3792155338451266e-05	1.3726450204849243	-0.0071499012	0.06796626
360	0.499237596988678	4.0828754208632745e-06	1.3714343309402466	0.02189562	0.06796626
370	-0.13362102210521698	3.914893568435218e-06	1.3706573247909546	0.01191284	0.06796626
380	0.19744938611984253	9.79873766482342e-06	1.3706248998641968	0.004695356	0.06796626
390	0.22264187037944794	4.734761660074582e-06	1.3694862127304077	-0.009571526	0.06796626
400	-0.11808479577302933	1.3171981663617771e-05	1.3713700771331787	-0.0766495	0.06796626
410	-0.11699725687503815	2.3270418751053512e-05	1.3722680807113647	0.0065696076	0.06796626
420	-0.09314744174480438	3.245720290578902e-05	1.3701857328414917	-0.009178631	0.06796626
430	-0.11327248811721802	1.8429718693369068e-05	1.365824818611145	-0.027658558	0.06796626
440	-0.10103485733270645	1.462937052565394e-05	1.3679593801498413	0.00171888	0.06796626
450	-0.11270845681428909	3.245923653594218e-05	1.3681474924087524	0.014220399	0.06796626
460	-0.11529360711574554	1.566504215588793e-05	1.367293119430542	0.0015797329	0.06796626
470	-0.1680639684200287	1.6876228983164765e-05	1.3681626319885254	-0.044350002	0.06796626
480	-0.11968912184238434	4.22954217356164e-05	1.3680983781814575	-0.0655032	0.06796626
490	-0.08654467016458511	5.962673094472848e-05	1.3679368495941162	-0.0018515724	0.06796626
500	-0.11392691731452942	2.350152499275282e-05	1.3669509887695312	-0.0123563185	0.06796626
510	-0.09170959144830704	1.0753823517006822e-05	1.3687126636505127	-0.00469068	0.06796626
520	-0.12496042251586914	3.488365337034338e-06	1.364415168762207	-0.05956148	0.06796626
530	-0.05380290374159813	1.6956229956122115e-05	1.3613836765289307	0.011830111	0.06796626
540	-0.09020134061574936	1.240157780557638e-05	1.36043381690979	-0.04995563	0.06796626
550	-0.15129821002483368	3.905543508153642e-06	1.357703685760498	-0.0038029589	0.06796626
