Iteration	PolicyLoss	ValueLoss	Entropy
820	-0.12613807618618011	6.654033768427325e-06	1.247650146484375
830	-0.12301205098628998	5.875529950571945e-06	1.2388180494308472
840	-0.1240868791937828	6.054882032913156e-05	1.2402777671813965
850	-0.1528087854385376	2.2144749891594984e-05	1.2408572435379028
860	-0.17037715017795563	4.370564965938684e-06	1.2404077053070068
870	-0.1579524427652359	1.221493130287854e-05	1.2365164756774902
880	-0.1637423038482666	5.479303126776358e-06	1.2322444915771484
890	-0.08024462312459946	1.1092761269537732e-05	1.2292044162750244
900	0.36701518297195435	1.2944123227498494e-05	1.2257989645004272
910	0.4598696827888489	1.7291975382249802e-05	1.220807671546936
920	-0.1448507010936737	2.637206307554152e-06	1.2179776430130005
930	-0.12428459525108337	4.0956088923849165e-05	1.2125216722488403
940	-0.14893467724323273	4.008932137367083e-06	1.2036125659942627
950	-0.14588165283203125	2.924020236605429e-06	1.2014193534851074
960	-0.15238599479198456	1.3409395251073875e-05	1.1988385915756226
970	-0.1349908858537674	2.1675232346751727e-05	1.1966264247894287
980	0.6059163808822632	2.0744713765452616e-05	1.1957024335861206
990	-0.15397417545318604	5.387641067500226e-06	1.1967744827270508
1000	-0.7519645690917969	9.25705098779872e-05	1.1905375719070435
