Iteration	PolicyLoss	ValueLoss	Entropy
10	-0.13733620941638947	8.838048233883455e-05	1.415388584136963
20	-0.014638653956353664	8.207267092075199e-05	1.4111101627349854
30	0.5163676738739014	0.00015355480718426406	1.4110790491104126
40	-0.07157161086797714	8.483609417453408e-05	1.4118937253952026
50	-0.2049551010131836	5.702784619643353e-05	1.4103399515151978
60	-0.07922608405351639	6.450759974541143e-05	1.4095362424850464
70	-0.10522916913032532	7.404692587442696e-05	1.4099177122116089
80	-0.13981753587722778	1.4597177141695283e-05	1.4105808734893799
90	0.04539133608341217	2.1100846424815245e-05	1.4077028036117554
100	-0.10651859641075134	1.655770029174164e-05	1.402347207069397
110	-0.12792107462882996	1.6260066331597045e-05	1.4046496152877808
120	-0.019161056727170944	1.749426155583933e-05	1.397192358970642
130	0.08431277424097061	3.789774200413376e-05	1.3964627981185913
140	0.07318156957626343	4.1049032006412745e-05	1.3966256380081177
150	-0.14543336629867554	5.560399586101994e-06	1.3979328870773315
160	-0.14405299723148346	1.0236125490337145e-05	1.3913161754608154
170	-0.05496247112751007	5.268141103442758e-05	1.393294334411621
180	-0.17246054112911224	5.308777417667443e-06	1.391946792602539
190	-0.14300060272216797	2.0401035726536065e-05	1.3920197486877441
200	-0.13805323839187622	4.6712625589862e-06	1.3930563926696777
210	0.4695762097835541	7.149565590225393e-06	1.3877067565917969
220	-0.2800544500350952	5.414573388407007e-05	1.3847274780273438
230	-0.11530245095491409	3.4368520573480055e-05	1.379962682723999
240	-0.1254393458366394	3.798316538450308e-05	1.3816777467727661
250	-0.008940830826759338	1.1785730748670176e-05	1.3782626390457153
260	-0.4535497725009918	5.666972811013693e-06	1.372949481010437
270	-0.06443130970001221	1.565748061693739e-05	1.3684189319610596
280	0.3362452983856201	1.6349178622476757e-05	1.3616818189620972
290	-0.5279508233070374	5.0293012463953346e-05	1.3567304611206055
300	-0.06660337001085281	5.101320493849926e-05	1.3415637016296387
310	-0.2610616683959961	1.808956585591659e-05	1.3274767398834229
320	-0.13184230029582977	3.42206476489082e-05	1.3285220861434937
330	-0.15530197322368622	1.541275196359493e-05	1.3229856491088867
340	-0.0887916162610054	3.574583024601452e-05	1.3221384286880493
350	-0.29315441846847534	4.810563405044377e-05	1.3217796087265015
360	-0.14971092343330383	2.672556547622662e-05	1.321160912513733
370	-0.13128085434436798	5.262613922241144e-05	1.3183696269989014
380	-0.14126399159431458	3.2267933420371264e-05	1.3125852346420288
390	-0.15401744842529297	1.9380933736101724e-05	1.3142343759536743
400	-0.13761165738105774	2.9804836231051013e-05	1.3149902820587158
410	-0.1289941817522049	4.462257948034676e-06	1.3148283958435059
420	-0.13485005497932434	1.1200942935829517e-05	1.311669945716858
430	0.0887797623872757	2.039408173004631e-05	1.308357834815979
440	-0.09143627434968948	3.190153847754118e-06	1.3064287900924683
450	-0.15365815162658691	3.424821261432953e-05	1.3054767847061157
460	-0.09290790557861328	2.3571305064251646e-05	1.3041061162948608
470	0.227457657456398	2.7867708922713064e-05	1.3048568964004517
480	-1.106257677078247	2.9698083380935714e-05	1.3072174787521362
490	0.14760063588619232	1.4084906069911085e-05	1.3073174953460693
500	-0.09201925992965698	1.1192463716724887e-05	1.3059817552566528
510	-0.04132727161049843	1.9297851395094767e-05	1.3037562370300293
520	-0.0998736172914505	1.8219345292891376e-05	1.3065786361694336
530	-0.11550747603178024	1.6909229088923894e-05	1.3060916662216187
540	-0.1192379891872406	7.657822607143316e-06	1.3059526681900024
550	-0.07848706841468811	9.53261860558996e-06	1.3058538436889648
560	-0.0956806167960167	1.1625505067058839e-05	1.3044605255126953
570	-0.1100454181432724	1.6128345805555e-06	1.3013582229614258
580	-0.06212332472205162	2.4816916265990585e-05	1.2994478940963745
590	-0.2535487711429596	1.508422337792581e-05	1.2952983379364014
600	-0.12171013653278351	1.4841331903880928e-05	1.2965312004089355
610	-0.15700098872184753	3.2200209716393147e-06	1.295727014541626
620	-0.16597765684127808	9.072321518033277e-06	1.2953333854675293
630	-0.09289678931236267	8.125213207677007e-05	1.2928868532180786
640	-0.09113043546676636	1.2498889191192575e-05	1.2927615642547607
650	-0.14778144657611847	1.8296077541890554e-05	1.293187141418457
660	-0.08687029778957367	2.198472066083923e-05	1.2952587604522705
670	-0.1746755987405777	1.7104212020058185e-05	1.2908979654312134
680	0.008681188337504864	2.0149193005636334e-05	1.288861632347107
690	-0.1383223682641983	1.9107910702587105e-05	1.2855422496795654
700	0.22931134700775146	9.594396942702588e-06	1.2850924730300903
710	-0.14623531699180603	1.1729372999980114e-05	1.2837949991226196
720	-0.09579584747552872	2.0281246179365553e-05	1.2822294235229492
730	-0.14499573409557343	1.8111064491677098e-05	1.2768038511276245
740	-0.08561942726373672	5.4148025810718536e-05	1.2708288431167603
750	-0.07627569139003754	3.34049946104642e-05	1.2682490348815918
760	0.17604205012321472	2.504763688193634e-05	1.2647366523742676
770	0.28926965594291687	3.92404126614565e-06	1.2621926069259644
780	-0.0447293259203434	3.502579056657851e-05	1.2572426795959473
790	-0.08485496044158936	2.2637965230387636e-05	1.2577015161514282
800	-0.11765263974666595	3.014732828887645e-05	1.2549787759780884
810	0.25201693177223206	5.961079295957461e-06	1.2477856874465942
