Iteration	Time	Timesteps	MeanReward	StdReward	MaxReward	MinReward	PolicyLoss	Q1Loss	Q2Loss	AlphaLoss	Alpha
10	5795.394238710403	288638	-0.24008421003818511	0.22306280351488486	0.06902942806482315	-0.49548566341400146	-16.144739151000977	0.012884015217423439	0.011913347989320755	0	0.2
20	5893.631181240082	571136	-0.21007088413462044	0.19309651677246958	0.0011995811946690083	-0.5582114458084106	-25.77511978149414	2.2408549785614014	2.21934175491333	0	0.2
30	5993.508961439133	861138	-0.2470682194456458	0.31404419462551436	-0.008229543454945087	-0.8127530813217163	-35.156822204589844	0.1037013828754425	0.0792723149061203	0	0.2
40	6093.368393659592	1150069	-0.24106971863657237	0.2870996814555055	0.004237296991050243	-0.7988444566726685	-43.877960205078125	0.07034915685653687	0.07767601311206818	0	0.2
50	6194.356742143631	1444933	-0.33250713497400286	0.3460015421306377	0.03395502641797066	-0.8599756956100464	-52.30167770385742	0.5277854800224304	0.4482898712158203	0	0.2
60	6293.316767215729	1729891	-0.37507933750748634	0.22839381342200035	-0.057429391890764236	-0.7212269306182861	-60.0910758972168	0.16608239710330963	0.16486473381519318	0	0.2
70	6394.738928794861	2022909	-0.47652551867067816	0.27461236653682325	0.016290737316012383	-0.7429258823394775	-67.57537841796875	14.46664810180664	15.01114559173584	0	0.2
80	6497.119616031647	2325540	-0.3260071583092213	0.2897196025125193	0.02388004958629608	-0.7450612783432007	-74.79341888427734	0.5514557957649231	0.6004930734634399	0	0.2
90	6599.441189527512	2624032	-0.33132559806108475	0.26968649892095914	-0.039775386452674866	-0.6907608509063721	-81.77960205078125	0.668584406375885	0.7383583784103394	0	0.2
100	6698.809175252914	2912827	-0.3140684671700001	0.2438134535723035	-0.037451740354299545	-0.6604622602462769	-88.17337036132812	29.199974060058594	29.510059356689453	0	0.2
110	6799.089073896408	3207568	-0.2821537408977747	0.28698155886001425	0.02300533466041088	-0.7549819946289062	-94.63848876953125	23.632192611694336	23.70671844482422	0	0.2
